Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0.0,11007,26,0.6500000000000057,10,359,1.0,1.0,0.37254901960784315,0.8018867924528302,4
6.024459304777396e-05,9327,11,0.125,4,359,0.7012048192771085,0.12413793103448276,0.6666666666666667,0.07547169811320756,2
0.00012048918609554793,5573,26,0.7000000000000028,6,359,0.3807228915662651,0.44482758620689655,0.37254901960784315,0.3113207547169811,2
0.0001807337791433219,11009,26,0.7250000000000014,10,359,0.3807228915662651,0.3793103448275862,0.3235294117647059,0.28301886792452835,2
0.00024097837219109585,7346,5,0.4000000000000057,7,359,0.27228915662650605,0.30689655172413793,1.0,0.09433962264150944,2
0.0003012229652388698,9715,5,0.22500000000000142,5,359,0.5590361445783133,0.0793103448275862,0.41176470588235303,0.05660377358490566,2
0.0003614675582866438,6723,4,0.6500000000000057,4,359,0.27469879518072293,0.3172413793103448,0.6372549019607844,0.27358490566037735,2
0.00042171215133441774,11005,26,0.6500000000000057,3,359,0.3373493975903615,0.3172413793103448,0.2843137254901961,0.2641509433962264,2
0.0004819567443821917,6726,26,0.7250000000000014,4,359,0.3518072289156627,0.24482758620689654,0.4607843137254903,0.2169811320754717,2
0.0005422013374299657,2590,11,0.10000000000000142,8,359,0.6481927710843374,0.020689655172413793,0.029411764705882356,0.04716981132075472,2
0.0006024459304777396,6793,4,0.625,9,359,0.21927710843373494,0.3793103448275862,0.18627450980392157,0.2641509433962264,2
0.0006626905235255136,5572,4,0.625,6,359,0.23614457831325303,0.26206896551724135,0.4019607843137255,0.17924528301886794,2
0.0007229351165732876,7333,5,0.4750000000000014,7,359,0.21686746987951808,0.21379310344827587,0.7058823529411766,0.0660377358490566,2
0.0007831797096210615,10999,26,0.6750000000000043,10,359,0.21445783132530122,0.27586206896551724,0.3529411764705883,0.2075471698113208,2
0.0008434243026688355,11000,26,0.7250000000000014,10,359,0.21927710843373494,0.296551724137931,0.2450980392156863,0.169811320754717,2
0.0009036688957166094,4917,28,0.75,3,323,0.3614457831325301,0.16896551724137931,0.019607843137254905,0.16037735849056606,2
0.0009639134887643834,3712,17,0.8250000000000028,0,494,0.16867469879518074,0.3206896551724138,0.09803921568627452,0.38679245283018865,2
0.0010241580818121574,3716,16,0.6000000000000014,0,494,0.22650602409638557,0.013793103448275862,0.03921568627450981,1.0,2
0.0010844026748599313,9341,23,0.25,4,359,0.30843373493975906,0.13103448275862067,0.34313725490196084,0.05660377358490566,1
0.0011446472679077053,1005,4,0.625,3,359,0.11566265060240964,0.3206896551724138,0.41176470588235303,0.18867924528301888,1
0.0012048918609554793,7331,4,0.6500000000000057,7,359,0.15421686746987953,0.15517241379310345,0.5882352941176472,0.1320754716981132,1
0.0012651364540032532,9334,5,0.22500000000000142,4,359,0.2602409638554217,0.09310344827586207,0.41176470588235303,0.03773584905660378,1
0.0013253810470510272,9329,11,0.20000000000000284,4,359,0.22891566265060243,0.11724137931034483,0.37254901960784315,0.04716981132075472,1
0.0013856256400988011,3712,28,0.8250000000000028,0,494,0.23132530120481928,0.18275862068965518,0.009803921568627453,0.1320754716981132,1
0.001445870233146575,3717,16,0.5500000000000043,0,494,0.2024096385542169,0.1896551724137931,0.04901960784313726,0.169811320754717,1
0.001506114826194349,7347,6,0.5500000000000043,7,359,0.14698795180722893,0.13448275862068965,0.5294117647058825,0.04716981132075472,1
0.001566359419242123,7325,4,0.75,7,359,0.13493975903614458,0.11379310344827585,0.5490196078431373,0.07547169811320756,1
0.001626604012289897,1003,4,0.625,5,359,0.0819277108433735,0.18620689655172415,0.5196078431372549,0.11320754716981132,1
0.001686848605337671,3693,16,0.5250000000000057,6,456,0.163855421686747,0.17586206896551723,0.18627450980392157,0.11320754716981132,1
0.001747093198385445,1228,28,0.7750000000000057,8,21,0.21686746987951808,0.1482758620689655,0.009803921568627453,0.12264150943396228,1
0.0018073377914332189,7369,5,0.45000000000000284,7,359,0.14216867469879518,0.1724137931034483,0.303921568627451,0.05660377358490566,1
0.0018675823844809928,1222,28,0.75,8,21,0.23373493975903614,0.12758620689655173,0.009803921568627453,0.1037735849056604,1
0.001927826977528767,7354,2,0.8250000000000028,7,359,0.12530120481927712,0.13793103448275862,0.42156862745098045,0.07547169811320756,1
0.001988071570576541,1223,18,0.875,8,21,0.13975903614457832,0.19999999999999998,0.03921568627450981,0.2169811320754717,1
0.0020483161636243143,1224,17,0.8000000000000043,8,21,0.12048192771084337,0.20344827586206898,0.05882352941176471,0.2358490566037736,1
0.0021085607566720885,1224,28,0.8000000000000043,8,21,0.19759036144578312,0.1482758620689655,0.009803921568627453,0.1037735849056604,1
0.0021688053497198627,1227,28,0.7250000000000014,8,21,0.20481927710843376,0.12413793103448276,0.009803921568627453,0.12264150943396228,1
0.002229049942767637,1228,17,0.7750000000000057,8,21,0.13253012048192772,0.19999999999999998,0.04901960784313726,0.15094339622641512,1
0.00228929453581541,3710,16,0.5250000000000057,0,494,0.16867469879518074,0.15517241379310345,0.029411764705882356,0.12264150943396228,1
0.0023495391288631843,9417,26,0.7000000000000028,2,359,0.163855421686747,0.0896551724137931,0.26470588235294124,0.09433962264150944,1
0.0024097837219109585,1222,17,0.75,8,21,0.14457831325301207,0.15172413793103448,0.04901960784313726,0.169811320754717,1
0.0024700283149587327,350,4,0.625,9,359,0.06265060240963856,0.12068965517241378,0.5196078431372549,0.0849056603773585,1
0.002530272908006506,5570,2,0.7750000000000057,6,359,0.11325301204819278,0.13448275862068965,0.26470588235294124,0.0849056603773585,1
